,cena,powierzchnia,liczba_pokoi,stan_wykonczenia,balkon_ogrod_taras,czynsz,miejsce_parkingowe,ogrzewanie,lokalizacja
6175,1387200,81.6,3,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Brązownicza 12, Małe Błonia, Krowodrza, Kraków, małopolskie"
6176,1161930,70.42,3,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Brązownicza 12, Małe Błonia, Krowodrza, Kraków, małopolskie"
6177,2056848,93.92,4,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Brązownicza 12, Małe Błonia, Krowodrza, Kraków, małopolskie"
6178,1251612,77.26,3,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Brązownicza 12, Małe Błonia, Krowodrza, Kraków, małopolskie"
6179,729000,52.0,3,do zamieszkania,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Sołtysowska, Łęg, Czyżyny, Kraków, małopolskie"
6180,997000,79.0,3,do zamieszkania,balkon,,,miejskie,"ul. Teodora Parnickiego, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
6181,937688,47.12,2,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Cieszyńska, Krowodrza, Krowodrza, Kraków, małopolskie"
6182,1258000,78.0,3,do zamieszkania,balkon,780,garaż/miejsce parkingowe,inne,"ul. Kazimierza Chałupnika, Rakowice, Prądnik Czerwony, Kraków, małopolskie"
6183,1100000,39.72,3,do zamieszkania,,500,,gazowe,"ul. św. Tomasza, Stare Miasto, Stare Miasto, Kraków, małopolskie"
6184,907088,46.28,2,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Cieszyńska, Krowodrza, Krowodrza, Kraków, małopolskie"
6185,,58.63,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Piotra Borowego, Zwierzyniec, Zwierzyniec, Kraków, małopolskie"
6186,922944,69.92,3,,"balkon, ogródek",,garaż/miejsce parkingowe,miejskie,"ul. Przewóz, Płaszów, Podgórze, Kraków, małopolskie"
6187,831600,47.25,2,,balkon,,garaż/miejsce parkingowe,gazowe,"Aleja Jana Pawła II, Rakowice, Prądnik Czerwony, Kraków, małopolskie"
6188,839401,58.09,3,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Piaszczysta, Prądnik Biały, Prądnik Biały, Kraków, małopolskie"
6189,783993,57.39,2,do wykończenia,ogródek,,garaż/miejsce parkingowe,miejskie,"ul. Rydlówka, Stare Podgórze, Podgórze, Kraków, małopolskie"
6190,813496,66.69,3,,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Erazma Jerzmanowskiego, Prokocim, Bieżanów-Prokocim, Kraków, małopolskie"
